time_stamp,location,user name,text,val
2020-04-06 13:26:42,,Madhumita Mazumdar,RT : Rajdeep normally follows Ram Guha when he has to outrage over . Guha expressed di…,0
2020-04-06 13:26:41,Delhi,Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:41,"Mumbai, India",Saket Gokhale,RT : Pls read this to know the absolute incompetent &amp; shady manner in which the Modi govt is handling the Covid-19 crisis. Z…,0
2020-04-06 13:26:41,India ,Mahua Moitra,RT : Turn out lights &amp; come on balconies? GET REAL MR. MODI! Give India fiscal pkg worth 8-10pc of GDP Ensure immediate w…,1
2020-04-06 13:26:41,"Jodhpur, Rajasthan, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:40,Bihar,ANI,RT : RJD MP Manoj Jha writes to Prime Minister Narendra Modi on Union Cabinet's decision to suspend the MPLAD funds a period of two yea…,0
2020-04-06 13:26:39,,ANI,RT : Our mothers &amp; sisters gave their jewellery during wars in the past. The current situation is in no means less than a war. It is a…,0
2020-04-06 13:26:39,,Doctor NiMo,RT : The Church of the Holy Sepulchre in Jerusalem has been closed due to Corona Virus for the first time after 1349. The keys…,1
2020-04-06 13:26:39,Bangalore ,Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:38,,Press Trust of India,"RT _News: On one hand, you're asking the more privileged to put up spectacle of lights, while on the other, the plight of the poor is i…",1
2020-04-06 13:26:38,"Gujarat, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:37,India,Anshul Saxena,RT : February 2020: ABP reported a fire incident near Solapur airport. April 2020: TV9 used ABP's footage of February incident…,0
2020-04-06 13:26:37,"Mirzapur Uttar Pradesh, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:37,,Katy Tur,"In India, PM Modi has mobilized Railway Cars as ICU units with beds, ventilators, etc and dispatched to all parts of the country...makes you wonder which is a third world and which is a first world country...winning much?",1
2020-04-06 13:26:37,India,Rupa Subramanya,You missed bus again as in NoteBandi.Yu shd question PM Modi on why no tests done.Or why Health Ministry not import testing kits?Is there some business deal involved?Why shd Indian Labs charge Rs5000-when otr Nations do it free? #FreeTests,1
2020-04-06 13:26:37,,Smriti Z Irani,"Congratulations Madam, 40years Proud working with the largest party in the world under the leadership of Shri Narendra Modi Guruji Folded hands I still have my Id card of 2001 of the BJYM meet, feel happy to serve the people. Thanks",1
2020-04-06 13:26:36,"New Delhi, India",iMac_too,RT _too: Trump's call to Modi regarding supply of Hydroxychloroquine is a watershed moment in long term. Save it,1
2020-04-06 13:26:36,"Bihar, India",Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:36,India,NDTV,"RT : ""Balcony government only for balcony people"": Kamal Haasan's letter to PM",1
2020-04-06 13:26:35,India,Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:35,,Brahma Chellaney,"RT : BJP president: ""We should thank policemen, doctors, nurses, bank officials and postmen who are working."" He didn't mention j…",1
2020-04-06 13:26:35,"Jammu, Jammu And Kashmir",Prashant Bhushan,"RT : Read: Fine letter of Kamal Hasan to Modi on the Virus of apathy to the poor unleashed by him. ""I am extremely saddened to se…",0
2020-04-06 13:26:34,"Navi Mumbai, India",Radha Charan Das,RT : I think Modi has not lost his focus even during Corona crisis His 2 priorities are 1. To make more and more money 2.…,0
2020-04-06 13:26:34,New Delhi,TOI India,RT : AIIMS RDA writes to PM Modi over 'targeting of doctors for raising genuine concerns related to Covid-19 preparedness' htt…,1
2020-04-06 13:26:34,,Dewdrop,_ind Feel great when I see that forces under Modi ji's governance are getting due respect. This is coming from an Ex Serviceman's wife.,1
2020-04-06 13:26:34,Bharat,Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
2020-04-06 13:26:33,,Sardar Haroon,"RT _sardar_: #StructuralViolenceInIOJK From removing article 370 to CAB and CAA And from CAB to domicile law ,All polices are based…",1
2020-04-06 13:26:33,"Dubai, United Arab Emirates",Ashok Swain,RT : Modi knows how to quarantine Muslims only! They are not leaving anything to blame Muslims for India's #CoronaVirus crisis! h…,0
2020-04-06 13:26:33,,Shash,RT : Mamata is everything what Liberandus try to see in Modi. -She detained Dr. Khan for asking proper PPE suits instead of Ra…,0
2020-04-06 13:26:33,"Bengaluru, Karnataka",Shilpa Nair,RT : Kamal Haasan writes a strongly worded letter to PM Modi. Says his biggest fear is that the same mistake of demonetisat…,0
2020-04-06 13:26:32,,Krishan Partap Singh,"RT : Usurping MPLADS just the start, testing the waters. Expect more such ordinances in an attempt to power-grab during the c…",1
2020-04-06 13:26:32,NY,The New York Times,Given the Modi government’s hostility to its to Muslim population one would hope the didn’t just parrot anonymous Indian government claims here. But there seems to have been no attempt to independently verify the claims. cc,0
2020-04-06 13:26:31,Greater Noida,Narendra Modi,RT : Had a fruitful interaction with the Council of Ministers today on the COVID-19 situation. Ministerial colleagues shared i…,1
